Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,32605,0,4,4.812048474160462,1.6780999999923552,114.4127000000026,8688.0,136.30724314684292,0.0,4,4,5,5,6,8,17,33,77,100,110
GET,/,33441,0,4,5.094550103166728,1.7935999999991736,219.45789999999832,8688.0,139.83363797920052,0.0,4,5,5,5,7,8,18,42,110,210,220
GET,/,34089,0,4,5.245543600574984,1.7437999999856402,269.814800000006,8688.0,142.52924178301836,0.0,4,5,5,5,6,8,18,47,160,230,270
GET,/,34618,0,4,5.073365029753323,1.6403999999994312,130.25470000000894,8688.0,144.7801577235295,0.0,4,5,5,5,7,9,19,45,81,120,130
GET,/,35430,0,4,5.527001143099043,1.8074999999839747,199.623399999993,8688.0,148.2014984974916,0.0,4,5,5,6,7,9,24,48,130,180,200
GET,/,35860,0,4,5.426754785276067,1.606999999999914,217.38390000000152,8688.0,150.11945399210646,0.0,4,5,5,6,7,9,21,48,110,210,220
GET,/,36573,0,4,5.758712388920755,1.7336999999884029,274.3717000000032,8688.0,153.04721101045712,0.0,4,5,5,6,7,10,26,50,160,200,270
GET,/,37239,0,4,5.653189892317206,1.5927000000033331,178.61890000000358,8688.0,155.75041069864832,0.0,4,5,5,6,7,10,26,48,120,160,180
GET,/,37708,0,4,5.579498117110422,1.720800000001077,177.17389999999966,8688.0,157.6928464323771,0.0,4,5,5,6,7,11,26,48,110,150,180
GET,/,38453,0,4,5.65659349075492,1.7358999999999014,192.1949999999981,8688.0,160.80317736532277,0.0,4,5,5,6,7,11,23,48,120,160,190
GET,/,39046,0,4,5.877464856835482,1.5951999999970212,174.6714999999881,8688.0,163.37105751709612,0.0,4,5,5,6,7,13,31,49,110,140,170
GET,/,39569,0,4,6.236684005155499,1.718299999993178,253.438100000011,8688.0,165.40811852697306,0.0,4,5,6,6,8,15,38,58,150,250,250
GET,/,40293,0,4,6.479186076986055,1.568100000014283,244.5412999999945,8688.0,168.37930737441727,0.0,4,5,6,6,8,15,45,65,150,210,240
GET,/,40913,0,4,6.670215950920285,1.6721000000075037,264.6950999999831,8688.0,170.90420408848777,0.0,4,5,6,6,8,16,46,63,170,240,260
GET,/,41455,0,4,6.7249449740682765,1.7201000000000022,261.91889999999773,8688.0,173.2338262626314,0.0,4,5,6,6,8,16,46,67,180,240,260
GET,/,42061,0,4,7.413610463374591,1.8051000000127717,382.14539999999886,8688.0,175.94552657254752,0.0,4,5,6,6,9,18,48,82,220,320,380
